Player,Diff,KD,Rating
BrazilLeomonster,-465,0.94,0.96
FinlandSADDYX,-341,0.97,0.96
SwitzerlandManiac,-388,0.97,0.96
Russiachopper,-464,0.98,0.96
Polandkaper,-168,0.98,0.96
FranceSmithZz,-563,0.97,0.96
ChinaDrea3er,-374,0.95,0.96
Polandphr,-501,0.98,0.96
DenmarkmaeVe,-131,0.98,0.96
BrazilWOOD7,+130,1.01,0.96
Hungarybodito,-453,0.95,0.96
BelgiumKeoz,-920,0.95,0.96
Canadastanislaw,-499,0.98,0.96
Francemisutaaa,-416,0.96,0.96
Kazakhstanw1nt3r,-199,0.98,0.96
Ukrainestarix,-311,0.97,0.96
SwedenLNZ,-136,0.98,0.96
Russiaseized,-867,0.97,0.96
Chinaexpro,-307,0.97,0.96
UnitedKingdomSurreal,-976,0.97,0.96
UnitedStatesJazzPimp,-362,0.96,0.96
Francexms,-627,0.95,0.96
SpainKairi,-236,0.97,0.96
RussiaProbLeM,-388,0.97,0.96
LithuaniaKvik,-688,0.95,0.96
DenmarkTMB,-790,0.96,0.96
SerbiaHOLMES,-416,0.95,0.96
CanadaWalco,-581,0.95,0.96
FranceLOGAN,-300,0.97,0.96
Bulgarianiki1,-942,0.96,0.96
DenmarksmF,-396,0.97,0.96
UnitedStatescJ,-304,0.96,0.96
SlovakiaThe,-423,0.97,0.96
UnitedStatesRZU,-554,0.94,0.96
GermanytiziaN,-976,0.97,0.96
China0i,-437,0.95,0.96
Polandponczek,-248,0.98,0.96
Argentinanbl,-523,0.95,0.96
BrazilYJ,-71,0.99,0.96
PolandNEO,-1558,0.96,0.95
Swedendezon,-248,0.97,0.95
RomaniaSEMINTE,-601,0.95,0.95
Germanydenis,-1863,0.95,0.95
GermanyalexRr,-554,0.93,0.95
Russiakinqie,-640,0.95,0.95
Swedendumz,-320,0.96,0.95
UnitedStatesnosraC,-583,0.96,0.95
TaiwanMarek,-343,0.96,0.95
Bulgariarafftu,-445,0.96,0.95
Swedenfriberg,-1734,0.95,0.95
FinlandAleksib,-607,0.97,0.95
NorwayGrus,-849,0.93,0.95
GermanytahsiN,-696,0.94,0.95
DenmarkConsole,-582,0.95,0.95
CanadaCONNOR93,-457,0.94,0.95
NewZealandsoju_j,-410,0.96,0.95
TurkeyMAJ3R,-789,0.96,0.95
KazakhstanKrizzeN,-368,0.97,0.95
BelarusdERZKIY,-406,0.95,0.95
NorwayH4RR3,-818,0.94,0.95
DenmarkSnappi,-1307,0.96,0.95
BulgariaoxygeN,-558,0.95,0.95
Francedevoduvek,-680,0.95,0.95
Russianafany,-1133,0.94,0.95
Hungaryflashie,-518,0.95,0.95
CzechRepublicValencio,-485,0.94,0.95
DenmarkAcilioN,-1611,0.95,0.95
GermanyecfN,-471,0.94,0.95
Brazilcaike,-487,0.95,0.95
Brazilsteel,-1125,0.96,0.95
DenmarkInzta,-849,0.94,0.94
Polanddarko,-953,0.94,0.94
DenmarkmaNkz,-1028,0.94,0.94
BelarusuNdo,-371,0.95,0.94
ChinaKarsa,-319,0.96,0.94
Germanykzy,-835,0.95,0.94
SwedenFifflaren,-40,0.99,0.94
UnitedStatesSileNt,-788,0.93,0.94
Brazildrg,-478,0.94,0.94
CzechRepublicbeastik,-1055,0.94,0.94
FinlandTwixie,-780,0.94,0.94
UnitedStatesShakezullah,-450,0.97,0.94
BulgariaRock1nG,-1142,0.93,0.94
Russiatonyblack,-725,0.95,0.94
BelarusboX,-1537,0.94,0.94
Ukrainearch,-658,0.94,0.94
Russiainterz,-160,0.99,0.94
AustraliaBRACE,-563,0.94,0.94
DenmarkLOMME,-532,0.95,0.94
AustraliaNoisia,-604,0.94,0.94
BelgiumEx6TenZ,-1064,0.96,0.94
Russiaub1que,-496,0.94,0.94
PortugalRIZZZ,-594,0.93,0.94
PolandTaZ,-2410,0.94,0.94
PolandSidney,-575,0.95,0.94
Finlandarvid,-1274,0.93,0.94
TurkeyngiN,-748,0.96,0.94
Chinaforget,-734,0.91,0.94
BulgariaDuplicate,-1111,0.94,0.94
Polandrepo,-657,0.93,0.94
SouthAfricaJT,-1429,0.93,0.94
PolandEXUS,-1264,0.93,0.93
Argentinatutehen,-422,0.95,0.93
PolandTOAO,-1538,0.94,0.93
NorwayPolly,-611,0.93,0.93
Russiahutji,-664,0.92,0.93
Germanycrisby,-1814,0.92,0.93
NorthMacedoniadan1,-592,0.93,0.93
DenmarkkiR,-1165,0.92,0.93
Swedenztr,-817,0.93,0.93
KazakhstanneaLaN,-1515,0.93,0.93
AustraliaSkulL,-1183,0.91,0.93
RussiaRAiLWAY,-1059,0.91,0.93
Polandmatty,-836,0.93,0.93
Serbiaemi,-1715,0.92,0.92
Swedenquix,-1985,0.90,0.92
BelarushitMouse,-625,0.93,0.92
Ukraineamster,-540,0.93,0.92
FranceXp3,-792,0.91,0.92
BulgariaPatrick,-985,0.91,0.92
SerbiaaVN,-955,0.93,0.92
BulgariapNshr,-812,0.92,0.92
BrazilTACO,-1605,0.94,0.92
Spainarki,-1274,0.92,0.92
NorthMacedoniastYleEeZ,-520,0.93,0.92
UzbekistanSANJI,-999,0.92,0.92
UkraineZeus,-1990,0.92,0.92
DenmarkMSL,-3441,0.90,0.92
PolandLuz,-994,0.92,0.92
BrazilRICIOLI,-628,0.92,0.92
Kazakhstansorrow,-867,0.90,0.92
UnitedStatesarya,-868,0.89,0.92
Polandmynio,-1886,0.90,0.92
Brazilnak,-700,0.92,0.92
UnitedKingdomdobbo,-629,0.93,0.92
RussiaS0tF1k,-2336,0.91,0.92
Norwayakez,-1085,0.90,0.91
Russiasvyat,-1060,0.92,0.91
SerbiaDav,-822,0.90,0.91
SwedenSHiNE,-663,0.91,0.91
Mongoliancl,-764,0.92,0.91
SwedenRo1f,-820,0.90,0.91
GermanyLEGIJA,-1671,0.90,0.91
Belarusroman,-664,0.91,0.91
RussiawayLander,-1715,0.89,0.91
FinlandxartE,-1780,0.91,0.91
FinlandBONA,-943,0.89,0.91
KosovoSENER1,-958,0.90,0.91
Denmarkkarrigan,-4168,0.89,0.91
FinlandsAw,-2108,0.91,0.90
Hungarycoolio,-656,0.91,0.90
GermanykRYSTAL,-3495,0.90,0.90
Ukrainecrush,-1476,0.89,0.90
UnitedStatesben1337,-2021,0.89,0.90
Denmarksycrone,-978,0.90,0.90
Russiabalblna,-1251,0.89,0.90
Bulgariankl,-1046,0.91,0.90
RomaniaBTN,-3064,0.88,0.90
Russiahooch,-1828,0.89,0.90
SwedenGolden,-2042,0.87,0.90
CanadaFNS,-1794,0.89,0.89
Russiaspiker,-974,0.88,0.89
CzechRepublicK1-FiDa,-917,0.89,0.89
UkrainePsycho,-1081,0.89,0.89
FranceJiNKZ,-1193,0.88,0.89
UnitedStatesMAiNLiNE,-1064,0.87,0.89
UnitedKingdomMiGHTYMAX,-2748,0.89,0.89
Swedenpronax,-2267,0.89,0.89
UnitedStatesPolen,-978,0.88,0.89
UnitedKingdomAdam9130,-1727,0.87,0.89
PolandlunAtic,-2471,0.88,0.89
UnitedStatesLeX,-1263,0.85,0.88
Denmarktorben,-1196,0.87,0.88
FranceLambert,-1687,0.88,0.88
UnitedStatesseang@res,-1629,0.87,0.88
Canadadaps,-2364,0.87,0.88
GermanyScrunK,-3337,0.85,0.87
DenmarkIceBerg,-2188,0.83,0.87
Polandnawrot,-1769,0.85,0.87
DenmarkBERRY,-2516,0.84,0.87
Chinaadvent,-2554,0.87,0.87
Denmarkbirdfromsky,-2988,0.85,0.87
Ukrainedef,-1593,0.85,0.86
Spaindav1g,-1168,0.84,0.86
SwedendjL,-1735,0.86,0.86
DenmarkHooXi,-2688,0.84,0.86
SwedenDevilwalk,-1153,0.84,0.85
Germanygob,-2828,0.84,0.85
UnitedStatesSlemmy,-1313,0.83,0.85
RussiaPASHANOJ,-2371,0.80,0.83
UkraineB1ad3,-3408,0.80,0.83
Belgiumsimix,-1548,0.80,0.83
Denmarknetrick,-1736,0.80,0.82
DenmarkHUNDEN,-6238,0.78,0.81
CanadaOCEAN,-1962,0.74,0.77
